사업장명,인허가일자,상세영업상태명,소재지전화,도로명주소,지번주소,위도,경도,약국영업면적,데이터기준일자
21세기건강약국,2008-12-02,영업중,063-251-0671,전라북도 전주시 덕진구 송천중앙로 39 (덕진동2가),전라북도 전주시 덕진구 덕진동2가 168-4,35.85064821,127.119542,60,2022-06-30
21세기종합약국,1994-09-09,영업중,063-274-4949,전라북도 전주시 덕진구 기린대로 400-8 (금암동),전라북도 전주시 덕진구 금암동 720-35,35.83802026,127.1328375,33.25,2022-06-30
365일박사약국,2020-08-31,영업중,,"전라북도 전주시 덕진구 기지로 77, 302동 A-113호 (장동, 전북혁신도시 더 M city 센텀)",전라북도 전주시 덕진구 장동 1111,35.83897655,127.0599118,45.6,2022-06-30
가나약국,2017-09-01,영업중,063-226-4488,전라북도 전주시 완산구 한두평3길 14 (중화산동2가),전라북도 전주시 완산구 중화산동2가 661,35.81467177,127.1242649,0,2022-06-30
감초당약국,1983-04-06,영업중,,전라북도 전주시 완산구 전라감영2길 17 (다가동1가),전라북도 전주시 완산구 다가동1가 44-5,35.81548832,127.1419152,0,2022-06-30
강림약국,2004-08-26,영업중,063-241-8434,전라북도 전주시 덕진구 우아3길 22 (우아동3가),전라북도 전주시 덕진구 우아동3가 730-6,35.84860884,127.1545581,0,2022-06-30
강약국,2019-08-07,영업중,,"전라북도 전주시 덕진구 솔내로 184, 106호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 220-8,35.86633561,127.1274432,56.8,2022-06-30
건강나라약국,2003-10-17,영업중,,전라북도 전주시 완산구 유연로 277 (서신동),전라북도 전주시 완산구 서신동 856-4,35.82556874,127.1160415,0,2022-06-30
건강사랑모래내수약국,2006-03-03,영업중,063-251-5161,전라북도 전주시 덕진구 안덕원로 153 (인후동2가),전라북도 전주시 덕진구 인후동2가 236-165,35.83307051,127.1448844,0,2022-06-30
건강솔약국,2009-10-12,영업중,063-908-8063,전라북도 전주시 덕진구 사평로 38 (덕진동1가),전라북도 전주시 덕진구 덕진동1가 1408-5,35.84086924,127.1212266,49,2022-06-30
건강약국,2015-09-01,영업중,063-286-6220,"전라북도 전주시 완산구 장승배기로 262, 주공A 상가동 105호 (평화동1가, 김혜영소아과)",전라북도 전주시 완산구 평화동1가 445-10,35.79813951,127.1408952,37.76,2022-06-30
건강전주프라자약국,2000-07-28,영업중,,전라북도 전주시 덕진구 백제대로 671 (금암동),전라북도 전주시 덕진구 금암동 1593-4,35.84404313,127.1426349,0,2022-06-30
건강종합약국,2000-06-16,영업중,063-242-4504,전라북도 전주시 덕진구 소리로 192 (호성동1가),전라북도 전주시 덕진구 호성동1가 794-8,35.85788922,127.1530252,0,2022-06-30
건강한약국,2022-01-04,영업중,,"전라북도 전주시 덕진구 송천중앙로 225, 파인트리몰 320호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1422,35.86704342,127.1209207,20.4,2022-06-30
건강한약국,2005-02-28,영업중,063-229-2227,전라북도 전주시 완산구 소대배기로 5 (평화동2가),전라북도 전주시 완산구 평화동2가 302-11,35.78766758,127.1309752,0,2022-06-30
경기약국,2015-03-02,영업중,063-285-3984,전라북도 전주시 완산구 팔달로 252 (서노송동),전라북도 전주시 완산구 서노송동 632-3,35.82468395,127.1447252,0,2022-06-30
경인당약국,2015-09-01,영업중,063-225-8255,"전라북도 전주시 완산구 장승배기로 48 (삼천동1가, 삼천동 두일하나아파트 상가)",전라북도 전주시 완산구 삼천동1가 306-8,35.79227028,127.118431,37.53,2022-06-30
고려약국,1969-12-30,영업중,063-284-5767,전라북도 전주시 완산구 팔달로 196 (경원동3가),전라북도 전주시 완산구 경원동3가 56-4,35.81986294,127.1466575,0,2022-06-30
고약국,1978-10-19,영업중,063-211-0706,전라북도 전주시 덕진구 기린대로 694 (팔복동1가),전라북도 전주시 덕진구 팔복동1가 139-28,35.85351375,127.1058956,0,2022-06-30
고운약국,2022-05-26,영업중,,전라북도 전주시 완산구 홍산로 245(효자동2가),전라북도 전주시 완산구 효자동2가 1244-1,35.8155397,127.1054794,102,2022-06-30
관우약국,2006-01-20,영업중,063-271-2049,전라북도 전주시 덕진구 송천중앙로 173 (송천동1가),전라북도 전주시 덕진구 송천동1가 486-34,35.86238658,127.1212732,0,2022-06-30
관통약국,2002-01-02,영업중,063-284-3916,전라북도 전주시 완산구 팔달로 181 (경원동1가),전라북도 전주시 완산구 경원동1가 73-1,35.8186725,127.1466295,0,2022-06-30
광장약국,2006-02-27,영업중,063-253-7800,전라북도 전주시 덕진구 덕진광장로 1-5 (덕진동1가),전라북도 전주시 덕진구 덕진동1가 1279-21,35.84430575,127.1237734,0,2022-06-30
광혜당약국,2014-07-04,영업중,063-227-0073,"전라북도 전주시 완산구 효자천변2길 7, 101호 (효자동1가)",전라북도 전주시 완산구 효자동1가 454-4,35.80544999,127.1139624,81.2,2022-06-30
국민약국,2021-11-18,영업중,063-212-7478,"전라북도 전주시 덕진구 혁신로 697, 드림프라자 106호 (반월동)",전라북도 전주시 덕진구 반월동 236-3,35.8741267,127.0745609,58.5,2022-06-30
국보약국,2008-02-27,영업중,063-228-5325,전라북도 전주시 완산구 백제대로 140 (효자동1가),전라북도 전주시 완산구 효자동1가 173-8,35.80543226,127.1238722,0,2022-06-30
금강약국,2008-10-06,영업중,063-211-9619,전라북도 전주시 덕진구 쪽구름로 109 (반월동),전라북도 전주시 덕진구 반월동 243-5,35.87375783,127.0733716,0,2022-06-30
금오당약국,1998-03-12,영업중,063-231-2728,전라북도 전주시 완산구 충경로 97-1 (경원동3가),전라북도 전주시 완산구 경원동3가 80-17,35.81953989,127.1496135,28.1,2022-06-30
기린봉약국,1993-05-11,영업중,063-282-7587,전라북도 전주시 완산구 견훤로 100-7 (중노송동),전라북도 전주시 완산구 중노송동 13-20,35.82100801,127.1616762,0,2022-06-30
기린약국,2020-07-17,영업중,,"전라북도 전주시 완산구 효천중앙로 22, A동 105호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1383-2,35.79850522,127.1044318,81.9,2022-06-30
길약국,2003-08-12,영업중,063-214-3663,전라북도 전주시 덕진구 쪽구름로 63 (여의동),전라북도 전주시 덕진구 여의동 582-16,35.87096805,127.0763263,0,2022-06-30
나을약국,2022-04-25,영업중,063-278-6878,"전라북도 전주시 완산구 서학로 37, 1층 (동서학동)",전라북도 전주시 완산구 동서학동 93-5,35.80966373,127.1535866,78.4,2022-06-30
남노약국,2000-11-22,영업중,063-288-0920,전라북도 전주시 완산구 관선1길 7 (남노송동),전라북도 전주시 완산구 남노송동 521-20,35.81969538,127.1544395,0,2022-06-30
남대문약국,1985-03-12,영업중,063-284-2106,전라북도 전주시 완산구 풍남문4길 3 (전동3가),전라북도 전주시 완산구 전동3가 144-8,35.81272022,127.1453578,0,2022-06-30
노송한약국,2004-10-08,영업중,063-255-7588,전라북도 전주시 완산구 메너머4길 25 (중화산동2가),전라북도 전주시 완산구 중화산동2가 737-1,35.824837,127.1200014,54.7,2022-06-30
녹십자약국,2000-06-30,영업중,063-227-8011,전라북도 전주시 완산구 용머리로 25-1 (효자동1가),전라북도 전주시 완산구 효자동1가 431-21,35.8061879,127.1133372,0,2022-06-30
누리빛약국,2017-02-27,영업중,,전라북도 전주시 완산구 백제대로 325 (중화산동2가),전라북도 전주시 완산구 중화산동2가 570-6,35.82229965,127.1223582,39.8,2022-06-30
늘사랑약국,2004-08-11,영업중,063-252-7755,전라북도 전주시 덕진구 건지로 9-2 (금암동),전라북도 전주시 덕진구 금암동 1594-11,35.84444292,127.1421813,153.6,2022-06-30
늘조은약국,2010-04-16,영업중,,전라북도 전주시 완산구 문학대4길 28 (효자동3가),전라북도 전주시 완산구 효자동3가 1618-2,35.82667199,127.1051541,46.44,2022-06-30
늘푸른솔약국,1997-11-06,영업중,063-271-7800,전라북도 전주시 덕진구 백제대로 660 (금암동),전라북도 전주시 덕진구 금암동 1588-6,35.84291317,127.1413858,0,2022-06-30
늘푸른약국,2016-03-02,영업중,063-226-2276,"전라북도 전주시 완산구 세내로 285 (효자동3가, 샘물아동병원)",전라북도 전주시 완산구 효자동3가 1542-1,35.81554866,127.1114225,133.3,2022-06-30
다나약국,2007-08-31,영업중,063-212-8424,"전라북도 전주시 덕진구 쪽구름로 120, 102호 (반월동, 그린프라자)",전라북도 전주시 덕진구 반월동 422-22,35.87416504,127.0721458,0,2022-06-30
다나은약국,2022-04-14,영업중,,"전라북도 전주시 덕진구 안덕원로 148, 1층 일부 (인후동2가)",전라북도 전주시 덕진구 인후동2가 261-2,35.83241394,127.1449627,66,2022-06-30
다범약국,2007-01-05,영업중,063-232-6968,전라북도 전주시 완산구 팔달로 104 (전동),전라북도 전주시 완산구 전동 227-3,35.8119344,127.1496268,0,2022-06-30
다사랑약국,2000-09-21,영업중,063-252-7654,전라북도 전주시 완산구 팔달로 281 (서노송동),전라북도 전주시 완산구 서노송동 651-28,35.82702573,127.1430359,0,2022-06-30
다솔약국,2013-05-20,영업중,063-229-9571,"전라북도 전주시 완산구 삼천천변1길 45, 1층 105호 (삼천동1가, 흥건2차아파트)",전라북도 전주시 완산구 삼천동1가 289-5,35.79572647,127.1152545,29.7,2022-06-30
다솜약국,2018-12-31,영업중,063-226-3343,전라북도 전주시 완산구 우전로 250 (효자동2가),전라북도 전주시 완산구 효자동2가 1234-1,35.81716408,127.1022014,95.85,2022-06-30
다연약국,2013-06-03,영업중,,전라북도 전주시 완산구 서원로 364 (중화산동1가),전라북도 전주시 완산구 중화산동1가 162-10,35.81360192,127.133632,42.5,2022-06-30
다온약국,2011-05-04,영업중,063-221-9100,전라북도 전주시 완산구 소대배기로 22 (평화동2가),전라북도 전주시 완산구 평화동2가 892-2,35.78691455,127.1326425,56,2022-06-30
다정약국,2008-01-18,영업중,063-251-0221,전라북도 전주시 완산구 서신로 107 (서신동),전라북도 전주시 완산구 서신동 963-4,35.83496666,127.1156268,0,2022-06-30
다정한약국,2017-08-16,영업중,,"전라북도 전주시 완산구 용머리로 31, 홈플러스 지하2층 (효자동1가)",전라북도 전주시 완산구 효자동1가 432-24,35.80657657,127.1142487,24.3,2022-06-30
대림약국,2003-06-02,영업중,063-251-5163,전라북도 전주시 덕진구 안덕원로 139 (진북동),전라북도 전주시 덕진구 진북동 336-21,35.83218909,127.1437557,0,2022-06-30
대상약국,2006-06-26,영업중,063-211-5782,전라북도 전주시 덕진구 쪽구름로 61 (여의동),전라북도 전주시 덕진구 여의동 581-3,35.8708299,127.0764546,0,2022-06-30
대성약국,1969-12-30,영업중,063-285-3276,전라북도 전주시 완산구 문화광장로 28-1 (서노송동),전라북도 전주시 완산구 서노송동 616-6,35.82303443,127.1469088,0,2022-06-30
대승약국,2000-08-21,영업중,063-221-5103,전라북도 전주시 완산구 장승배기로 194 (평화동1가),전라북도 전주시 완산구 평화동1가 709-1,35.79572763,127.133882,0,2022-06-30
대웅약국,2009-03-16,영업중,063-251-0282,전라북도 전주시 완산구 공북로 22 (태평동),전라북도 전주시 완산구 태평동 185-11,35.82517775,127.1342474,61,2022-06-30
대자연약국,2010-11-30,영업중,063-227-5508,전라북도 전주시 완산구 호암로 85 (효자동2가),전라북도 전주시 완산구 효자동2가 1318-4,35.80857706,127.1038567,86.49,2022-06-30
대지약국,1974-11-26,영업중,063-222-6909,전라북도 전주시 완산구 용머리로 189 (효자동1가),전라북도 전주시 완산구 효자동1가 157-27,35.80729115,127.1306456,0,2022-06-30
대학비타민약국,2008-03-05,영업중,063-274-0123,전라북도 전주시 덕진구 조경단로 113 (금암동),전라북도 전주시 덕진구 금암동 632-155,35.84420682,127.1381405,0,2022-06-30
대학약국,2008-01-02,영업중,063-253-7979,전라북도 전주시 덕진구 건지로 14-4 (금암동),전라북도 전주시 덕진구 금암동 1596-3,35.84498895,127.1430506,0,2022-06-30
대학종로약국,2012-08-23,영업중,063-274-5425,전라북도 전주시 덕진구 건지2길 15 (금암동),전라북도 전주시 덕진구 금암동 105-397,35.84465761,127.1410285,121,2022-06-30
대학중앙약국,2007-03-27,영업중,063-253-2530,전라북도 전주시 덕진구 건지로 14-2 (금암동),전라북도 전주시 덕진구 금암동 1596-29,35.84495314,127.1428485,0,2022-06-30
더건강약국,2020-02-19,영업중,,전라북도 전주시 완산구 효천중앙로 51 (효자동2가),전라북도 전주시 완산구 효자동2가 1377-3,35.79895232,127.1075191,46.9,2022-06-30
더나은약국,2021-01-22,영업중,063-904-0107,"전라북도 전주시 완산구 백제대로 264, 1층 102호 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 651-3,35.81676534,127.1233548,69.96,2022-06-30
더웰약국,2019-08-09,영업중,063-227-5537,전라북도 전주시 완산구 거마평로 171-7 (효자동1가),전라북도 전주시 완산구 효자동1가 395-6,35.80819997,127.1154172,98.8,2022-06-30
더희망약국,2010-09-07,영업중,063-274-0882,전라북도 전주시 덕진구 건지로 10 (금암동),전라북도 전주시 덕진구 금암동 1596-21,35.84464039,127.1427843,111.02,2022-06-30
덕수약국,1969-12-30,영업중,063-252-0683,전라북도 전주시 덕진구 덕진광장로 8 (덕진동1가),전라북도 전주시 덕진구 덕진동1가 1276-1,35.84385519,127.1245833,0,2022-06-30
덕진종로약국,1999-07-06,영업중,063-273-6465,"전라북도 전주시 덕진구 기린대로 481 (덕진동1가, 동원타워)",전라북도 전주시 덕진구 덕진동1가 1267-1,35.84249409,127.1250394,0,2022-06-30
덕진큰사랑약국,1980-04-11,영업중,063-277-1405,전라북도 전주시 덕진구 기린대로 519 (덕진동1가),전라북도 전주시 덕진구 덕진동1가 1400-6,35.84479552,127.121981,0,2022-06-30
도담한약국,2008-07-03,영업중,,전라북도 전주시 완산구 봉곡로 115 (효자동2가),전라북도 전주시 완산구 효자동2가 1158-30,35.81110859,127.1064626,39.2,2022-06-30
독일약국,2019-06-17,영업중,063-275-0110,"전라북도 전주시 완산구 당산로 40, 예영교회 101호 (서신동)",전라북도 전주시 완산구 서신동 797-2,35.83201063,127.1126684,62.4,2022-06-30
돌봄약국,2020-04-17,영업중,063-228-5525,"전라북도 전주시 완산구 효자천변2길 13, 우림천주교회 (효자동1가)",전라북도 전주시 완산구 효자동1가 651,35.80490139,127.1142474,29.7,2022-06-30
동광약국,1969-12-30,영업중,063-252-3561,전라북도 전주시 완산구 문화광장로 9 (고사동),전라북도 전주시 완산구 고사동 2-5,35.82202168,127.1451324,0,2022-06-30
동산종로온누리약국,2011-01-21,영업중,063-211-3286,전라북도 전주시 덕진구 편운로 6 (동산동),전라북도 전주시 덕진구 동산동 701,35.87082881,127.0770367,114.54,2022-06-30
동산참조은약국,2006-04-06,영업중,,전라북도 전주시 덕진구 쪽구름로 74 (동산동),전라북도 전주시 덕진구 동산동 691-17,35.87196114,127.0764793,0,2022-06-30
동양당약국,2000-10-16,영업중,063-284-4788,전라북도 전주시 완산구 팔달로 103 (전동),전라북도 전주시 완산구 전동 223-4,35.81203784,127.149144,0,2022-06-30
동의보감한약국,2007-04-19,영업중,063-237-3114,전라북도 전주시 완산구 솟대로 11 (삼천동1가),전라북도 전주시 완산구 삼천동1가 694-2,35.79499841,127.1259624,0,2022-06-30
동화당한약국,2009-08-26,영업중,,전라북도 전주시 완산구 공북2길 15 (태평동),전라북도 전주시 완산구 태평동 249-1,35.8271165,127.1380919,42,2022-06-30
드림약국,2017-02-06,영업중,063-224-5151,전라북도 전주시 완산구 호암로 59 (효자동2가),전라북도 전주시 완산구 효자동2가 1317-1,35.80947212,127.1010871,60,2022-06-30
따뜻한약국,2022-04-04,영업중,,전라북도 전주시 완산구 백마산길 10(효자동3가),전라북도 전주시 완산구 효자동3가 1167-5,35.8180615,127.0919953,42.12,2022-06-30
라라약국,2015-07-20,영업중,063-231-2828,"전라북도 전주시 덕진구 기린대로 477, CS빌딩 102호 (덕진동1가)",전라북도 전주시 덕진구 덕진동1가 1267-10,35.84208412,127.1252858,88.11,2022-06-30
레몬약국,2021-03-10,영업중,063-277-0033,"전라북도 전주시 덕진구 기린대로 465, 3층 304호 (덕진동1가)",전라북도 전주시 덕진구 덕진동1가 1267-22,35.84151355,127.1263028,59.25,2022-06-30
리더스종합약국,2018-11-26,영업중,063-253-3210,"전라북도 전주시 완산구 온고을로 62, 1층 (서신동)",전라북도 전주시 완산구 서신동 965-1,35.83423622,127.1161487,93,2022-06-30
마더온누리약국,1991-01-21,영업중,063-244-1011,전라북도 전주시 완산구 서원로 66 (효자동2가),전라북도 전주시 완산구 효자동2가 1246-14,35.81338944,127.1016381,66.42,2022-06-30
마더힐링약국,2019-01-29,영업중,063-214-0088,"전라북도 전주시 덕진구 세병로 178-4, 103호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1299-9,35.87902725,127.1332324,42.84,2022-06-30
마이약국,1973-03-16,영업중,063-221-3597,전라북도 전주시 완산구 거마평로 16 (삼천동1가),전라북도 전주시 완산구 삼천동1가 669,35.79375286,127.1170495,0,2022-06-30
맑은약국,2020-01-22,영업중,063-288-0786,전라북도 전주시 완산구 서원로 350 (중화산동1가),전라북도 전주시 완산구 중화산동1가 305-2,35.8130637,127.1325668,47.85,2022-06-30
맘약국,2022-03-28,영업중,063-226-1203,"전라북도 전주시 완산구 효천중앙로 57, 107호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1377,35.799336,127.1080659,40,2022-06-30
메디칼약국,1999-01-11,영업중,063-255-9200,전라북도 전주시 덕진구 솔내로 190 (송천동2가),전라북도 전주시 덕진구 송천동2가 282-3,35.86702497,127.1274585,,2022-06-30
메디칼종합약국,2013-12-17,영업중,063-277-3180,전라북도 전주시 덕진구 기린대로 272 (진북동),전라북도 전주시 덕진구 진북동 329-1,35.82998243,127.1425579,29.7,2022-06-30
메디팜동일약국,1999-05-07,영업중,063-224-3663,"전라북도 전주시 완산구 용리로 178, 306동 105호 (삼천동1가, 삼천쌍용아파트)",전라북도 전주시 완산구 삼천동1가 705-3,35.79789971,127.1283968,0,2022-06-30
메디팜송정약국,1995-05-13,영업중,063-254-0077,전라북도 전주시 덕진구 벚꽃로 52 (진북동),전라북도 전주시 덕진구 진북동 417-64,35.82898851,127.1352358,0,2022-06-30
메디팜으뜸약국,2014-03-13,영업중,063-282-1999,"전라북도 전주시 완산구 서원로 325, 1층 102호 (중화산동1가, 나눔빌딩)",전라북도 전주시 완산구 중화산동1가 253-2,35.81244142,127.1298821,72.86,2022-06-30
명랑약국,2000-08-16,영업중,063-274-3669,전라북도 전주시 덕진구 안덕원로 204 (인후동1가),전라북도 전주시 덕진구 인후동1가 660-5,35.83549907,127.1496443,0,2022-06-30
명문약국,1997-11-06,영업중,063-224-9500,전라북도 전주시 완산구 거마평로 181 (효자동1가),전라북도 전주시 완산구 효자동1가 393,35.80856288,127.1155484,0,2022-06-30
명산약국,1968-07-06,영업중,063-284-5420,전라북도 전주시 완산구 풍남문4길 16 (전동3가),전라북도 전주시 완산구 전동3가 32-1,35.81373369,127.1455809,0,2022-06-30
명성약국,1995-03-18,영업중,,전라북도 전주시 덕진구 안덕원로 159 (인후동2가),전라북도 전주시 덕진구 인후동2가 236-8,35.83359583,127.1452822,96,2022-06-30
명약국,1977-07-14,영업중,063-284-7263,전라북도 전주시 완산구 견훤왕궁로 78 (중노송동),전라북도 전주시 완산구 중노송동 354-151,35.82740292,127.1543197,0,2022-06-30
명현약국,2005-02-21,영업중,063-251-3762,"전라북도 전주시 완산구 온고을로 119, 115동 117호 (서신동)",전라북도 전주시 완산구 서신동 763-1,35.83256427,127.1115212,44.8,2022-06-30
모래내녹십자약국,2009-11-02,영업중,063-255-4004,전라북도 전주시 덕진구 안덕원로 159 (인후동2가),전라북도 전주시 덕진구 인후동2가 236-8,35.83359583,127.1452822,56.4,2022-06-30
모래내약국,2014-04-01,영업중,063-271-0812,전라북도 전주시 덕진구 안덕원로 162 (인후동2가),전라북도 전주시 덕진구 인후동2가 236-25,35.83325078,127.1457704,41,2022-06-30
모래내태평양약국,1985-05-29,영업중,063-274-1188,전라북도 전주시 덕진구 안덕원로 156 (인후동2가),전라북도 전주시 덕진구 인후동2가 236-137,35.83299817,127.1455319,0,2022-06-30
모래내한약국,2018-04-26,영업중,063-277-0868,전라북도 전주시 덕진구 안덕원로 150 (인후동2가),전라북도 전주시 덕진구 인후동2가 260-7,35.83259429,127.1450299,31.68,2022-06-30
문약국,2021-06-17,영업중,063-247-0652,"전라북도 전주시 덕진구 도당산2길 8-2, 1층 (우아동3가)",전라북도 전주시 덕진구 우아동3가 748-5,35.84666464,127.1546362,198.4,2022-06-30
문화당약국,2002-01-15,영업중,063-277-3567,전라북도 전주시 덕진구 가리내로 30 (금암동),전라북도 전주시 덕진구 금암동 796-5,35.83443306,127.1326898,56.32,2022-06-30
미담한약국,2011-03-25,영업중,063-276-3008,전라북도 전주시 덕진구 붓내3길 34 (송천동2가),전라북도 전주시 덕진구 송천동2가 233-1,35.86654302,127.1250987,43.6,2022-06-30
미도약국,2019-12-02,영업중,063-225-7863,"전라북도 전주시 완산구 백제대로 120, 미래내과 (효자동1가)",전라북도 전주시 완산구 효자동1가 222-2,35.80387688,127.1246333,60.15,2022-06-30
미듬약국,2013-04-29,영업중,,전라북도 전주시 완산구 용리로 56 (삼천동1가),전라북도 전주시 완산구 삼천동1가 285-10,35.79840488,127.1159665,45.9,2022-06-30
미듬우리약국,2005-10-21,영업중,063-211-7984,전라북도 전주시 덕진구 쪽구름로 57 (여의동),전라북도 전주시 덕진구 여의동 580-6,35.87049988,127.0765605,0,2022-06-30
미래건강약국,2015-03-13,영업중,063-245-2222,"전라북도 전주시 덕진구 견훤로 382, 1층 (우아동3가)",전라북도 전주시 덕진구 우아동3가 734-14,35.84529777,127.1534599,147.68,2022-06-30
미래약국,2009-10-20,영업중,063-224-8851,전라북도 전주시 완산구 유연로 270 (중화산동2가),전라북도 전주시 완산구 중화산동2가 743-5,35.82516061,127.1150516,44.16,2022-06-30
미르한약국,2005-06-20,영업중,063-255-1114,전라북도 전주시 완산구 모악로 4770 (평화동1가),전라북도 전주시 완산구 평화동1가 731-11,35.79489816,127.1327811,0,2022-06-30
미소약국,2020-04-21,영업중,,"전라북도 전주시 완산구 홍산로 249, 1층 101-2호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1239-5,35.81601796,127.1055173,46,2022-06-30
미소온누리약국,2018-12-14,영업중,063-255-7575,"전라북도 전주시 덕진구 기린대로 489, 1층 (덕진동1가)",전라북도 전주시 덕진구 덕진동1가 1275-10,35.84276162,127.1243937,89.6,2022-06-30
미소진약국,2016-12-12,영업중,063-221-7542,"전라북도 전주시 완산구 호암로 29, 101, 102호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1313-4,35.80939053,127.0976328,74.18,2022-06-30
민트약국,2019-12-05,영업중,0507-1326-2734,전라북도 전주시 덕진구 명륜4길 21(덕진동1가),전라북도 전주시 덕진구 덕진동1가 1312-77,35.8438746,127.1269609,25.74,2022-06-30
바다약국,2013-04-18,영업중,,"전라북도 전주시 덕진구 송천로 30, 2동 1층 (송천동1가)",전라북도 전주시 덕진구 송천동1가 382-1,35.85607789,127.1191966,49.44,2022-06-30
바로약국,2020-06-30,영업중,,"전라북도 전주시 완산구 홍산중앙로 20, 1층 103호 (효자동3가)",전라북도 전주시 완산구 효자동3가 1541-8,35.81535827,127.1093122,59.4,2022-06-30
바른약국,2018-09-17,영업중,063-225-9370,"전라북도 전주시 덕진구 기지로 66, 102호 (중동)",전라북도 전주시 덕진구 중동 774-4,35.83804926,127.0590138,78.65,2022-06-30
반암약국,2003-02-24,영업중,063-284-6638,전라북도 전주시 완산구 효자로 169 (효자동3가),전라북도 전주시 완산구 효자동3가 1699-4,35.81938959,127.1039547,0,2022-06-30
방가온누리약국,2018-08-01,영업중,,전라북도 전주시 완산구 용머리로 104 (효자동1가),전라북도 전주시 완산구 효자동1가 547-3,35.80586032,127.1215175,111.3,2022-06-30
백제약국,2000-10-23,영업중,063-284-6767,전라북도 전주시 완산구 서원로 353 (중화산동1가),전라북도 전주시 완산구 중화산동1가 306-8,35.81351558,127.1324941,0,2022-06-30
백화점약국,2005-09-21,영업중,063-255-8275,"전라북도 전주시 완산구 온고을로 26, 1층 (서신동, 트윈폴리스)",전라북도 전주시 완산구 서신동 970-2,35.8342007,127.1201013,0,2022-06-30
베스트약국,2010-08-16,영업중,063-223-2003,전라북도 전주시 완산구 홍산로 250 (효자동3가),전라북도 전주시 완산구 효자동3가 1531-4,35.81603724,127.1064466,67.5,2022-06-30
보건약국,2021-10-01,영업중,063-255-3293,전라북도 전주시 덕진구 안덕원로 102(진북동),전라북도 전주시 덕진구 진북동 359-8,35.8294901,127.1413179,55.54,2022-06-30
보건온누리약국,2022-01-07,영업중,063-244-5646,"전라북도 전주시 덕진구 우아3길 22, 1층 (우아동3가)",전라북도 전주시 덕진구 우아동3가 730-6,35.84860884,127.1545581,66,2022-06-30
보금약국,2017-05-08,영업중,063-229-8270,"전라북도 전주시 완산구 유연로 158, 101호 (효자동3가)",전라북도 전주시 완산구 효자동3가 1627-4,35.82489475,127.1029416,107.84,2022-06-30
보람약국,2015-06-01,영업중,063-276-5955,전라북도 전주시 덕진구 송천중앙로 123 (송천동1가),전라북도 전주시 덕진구 송천동1가 474-12,35.85807044,127.120593,135.87,2022-06-30
보령당한약국,2007-09-07,영업중,063-254-8505,전라북도 전주시 덕진구 안덕원로 146 (진북동),전라북도 전주시 덕진구 진북동 325-1,35.83213539,127.1445666,23.1,2022-06-30
보령약국,2002-03-23,영업중,063-246-5050,전라북도 전주시 덕진구 무삼지로 77 (인후동1가),전라북도 전주시 덕진구 인후동1가 842-7,35.83249011,127.1627011,114.46,2022-06-30
보생약국,1973-06-01,영업중,063-221-6402,전라북도 전주시 완산구 효동2길 3 (효자동1가),전라북도 전주시 완산구 효자동1가 196-3,35.80580577,127.1278025,45.6,2022-06-30
본약국,2021-07-19,영업중,063-276-3876,"전라북도 전주시 덕진구 송천중앙로 154, 1층 (송천동1가)",전라북도 전주시 덕진구 송천동1가 482-1,35.86051043,127.121723,52,2022-06-30
