사업장명,인허가일자,상세영업상태명,소재지전화,도로명주소,지번주소,위도,경도,약국영업면적,데이터기준일자
봄빛약국,2012-11-30,영업중,063-254-8625,전라북도 전주시 덕진구 가련산로 10 (덕진동2가),전라북도 전주시 덕진구 덕진동2가 695-2,35.84066828,127.1105537,59.8,2022-06-30
봄약국,2019-05-08,영업중,063-223-2236,"전라북도 전주시 완산구 거마평로 150, 1층 (효자동1가)",전라북도 전주시 완산구 효자동1가 282-6,35.8059307,127.1169923,31.9,2022-06-30
빅약국,2022-01-26,영업중,,"전라북도 전주시 덕진구 송천중앙로 82, 롯데마트맥스 송천점 2층 일부호 (송천동1가)",전라북도 전주시 덕진구 송천동1가 281-1,35.85457451,127.12046,23.8,2022-06-30
사랑녹십자약국,2007-11-20,영업중,063-243-8778,전라북도 전주시 덕진구 아중로 152 (인후동1가),전라북도 전주시 덕진구 인후동1가 928-6,35.82580672,127.1661416,0,2022-06-30
사랑약국,2018-12-21,영업중,063-229-140,전라북도 전주시 완산구 백제대로 74 (삼천동1가),전라북도 전주시 완산구 삼천동1가 732-3,35.80087761,127.1278535,55,2022-06-30
삼광약국,1999-12-23,영업중,063-288-8148,전라북도 전주시 완산구 장승배기로 266 (평화동1가),전라북도 전주시 완산구 평화동1가 408-4,35.79837887,127.1412902,0,2022-06-30
삼인당약국,1999-05-26,영업중,063-224-2266,전라북도 전주시 완산구 용리로 142 (삼천동1가),전라북도 전주시 완산구 삼천동1가 622-2,35.79701949,127.1248458,0,2022-06-30
삼천우리약국,2007-11-02,영업중,063-228-0777,전라북도 전주시 완산구 거마평로 57 (삼천동1가),전라북도 전주시 완산구 삼천동1가 287-14,35.79767393,127.1166517,0,2022-06-30
상진약국,2006-12-12,영업중,063-284-3848,전라북도 전주시 완산구 팔달로 13 (서서학동),전라북도 전주시 완산구 서서학동 113-5,35.80411618,127.1485062,0,2022-06-30
새로나약국,2001-09-22,영업중,063-222-3292,"전라북도 전주시 완산구 용머리로 66, 1층 (효자동1가, 김양박이비인후과)",전라북도 전주시 완산구 효자동1가 285-6,35.80631431,127.1175088,56.14,2022-06-30
새롬약국,2013-10-01,영업중,063-226-7985,"전라북도 전주시 완산구 거마평로 22, 1층 (삼천동1가)",전라북도 전주시 완산구 삼천동1가 660-2,35.79433362,127.1170604,91.32,2022-06-30
새보건약국,1989-10-11,영업중,063-287-0814,전라북도 전주시 완산구 팔달로 158 (전동),전라북도 전주시 완산구 전동 135,35.81647577,127.1478735,0,2022-06-30
새봄약국,2019-12-17,영업중,,전라북도 전주시 완산구 용머리로 203 (서완산동2가),전라북도 전주시 완산구 서완산동2가 360-19,35.8078255,127.1321346,50.03,2022-06-30
새평화약국,1982-07-16,영업중,,전라북도 전주시 덕진구 안덕원로 261 (인후동1가),전라북도 전주시 덕진구 인후동1가 768-9,35.83694684,127.1555388,0,2022-06-30
새하늘약국,2015-09-25,영업중,,"전라북도 전주시 완산구 홍산1길 21, 1층 104호 (효자동2가, 서희스타힐스)",전라북도 전주시 완산구 효자동2가 1157-3,35.81439897,127.1073162,31.2,2022-06-30
새하얀온누리약국,2003-06-02,영업중,063-229-8575,전라북도 전주시 완산구 용머리로 62 (효자동1가),전라북도 전주시 완산구 효자동1가 288-5,35.80633056,127.1170206,0,2022-06-30
샛별약국,2022-05-10,영업중,063-282-9799,"전라북도 전주시 완산구 서원로 318, 1층 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 28-3,35.81173197,127.1291927,47.48,2022-06-30
생수약국,2013-04-29,영업중,063-282-3752,전라북도 전주시 완산구 장승배기로 208 (평화동1가),전라북도 전주시 완산구 평화동1가 711-5,35.79626153,127.135416,102.96,2022-06-30
서문약국,2012-05-17,영업중,063-226-9940,전라북도 전주시 완산구 용머리로 54 (효자동1가),전라북도 전주시 완산구 효자동1가 441-5,35.80629795,127.1162558,112.86,2022-06-30
서부대성약국,2017-03-24,영업중,063-227-7733,전라북도 전주시 완산구 용머리로 148 (효자동1가),전라북도 전주시 완산구 효자동1가 195-14,35.80574581,127.126633,98.82,2022-06-30
서신약국,2001-02-08,영업중,063-274-7569,전라북도 전주시 완산구 전룡로 98 (서신동),전라북도 전주시 완산구 서신동 23-38,35.82834599,127.1233492,0,2022-06-30
서신이마트약국,2017-03-13,영업중,063-255-3520,전라북도 전주시 완산구 당산로 106 (서신동),전라북도 전주시 완산구 서신동 785-4,35.83200163,127.1200134,65.8,2022-06-30
서신종로약국,2012-12-31,영업중,063-275-8813,전라북도 전주시 완산구 당산로 98 (서신동),전라북도 전주시 완산구 서신동 785,35.83198355,127.1192556,186.06,2022-06-30
서신태평양약국,2013-01-02,영업중,063-252-9270,전라북도 전주시 완산구 당산로 102 (서신동),전라북도 전주시 완산구 서신동 785-2,35.83197135,127.1196516,196.74,2022-06-30
서신토마토약국,2005-09-28,영업중,063-274-5755,전라북도 전주시 완산구 온고을로 66 (서신동),전라북도 전주시 완산구 서신동 962-3,35.8342176,127.1155508,0,2022-06-30
서울약국,1960-10-18,영업중,,전라북도 전주시 덕진구 조경단로 48 (금암동),전라북도 전주시 덕진구 금암동 1560-10,35.83857373,127.1382635,38.1,2022-06-30
서학온누리약국,2022-05-13,영업중,063-286-7773,"전라북도 전주시 완산구 흑석로 42, 1층 (서서학동)",전라북도 전주시 완산구 서서학동 970-7,35.80045474,127.1506524,42.5,2022-06-30
설약국,2017-05-01,영업중,063-221-7240,전라북도 전주시 완산구 백제대로 248 (중화산동2가),전라북도 전주시 완산구 중화산동2가 649-7,35.81518573,127.1235057,75.6,2022-06-30
성심약국,2009-01-29,영업중,063-288-3633,전라북도 전주시 완산구 서학로 36 (동서학동),전라북도 전주시 완산구 동서학동 137-3,35.80945714,127.1533902,54,2022-06-30
성은약국,2017-08-09,영업중,063-273-5880,"전라북도 전주시 덕진구 기린대로 358, 106호 (금암동, 영진빌딩)",전라북도 전주시 덕진구 금암동 482-5,35.835462,127.1356179,0,2022-06-30
센타프라자약국,2019-01-02,영업중,063-241-7585,"전라북도 전주시 덕진구 만성중앙로 45, 109,110호 (만성동)",전라북도 전주시 덕진구 만성동 1373-1,35.84311246,127.0768407,68.89,2022-06-30
센트럴약국,2017-07-20,영업중,063-227-1255,"전라북도 전주시 완산구 홍산2길 17 (효자동3가, 센트럴빌딩)",전라북도 전주시 완산구 효자동3가 1543-5,35.8148796,127.110898,55.5,2022-06-30
소담약국,2001-10-23,영업중,063-283-0652,"전라북도 전주시 완산구 공북로 48 (태평동, 명신약국)",전라북도 전주시 완산구 태평동 241-13,35.8255237,127.1373094,61.61,2022-06-30
소망약국,1983-10-10,영업중,063-228-1928,전라북도 전주시 완산구 모악로 4678 (평화동2가),전라북도 전주시 완산구 평화동2가 889-1,35.78686647,127.1305418,0,2022-06-30
소망한약국,2004-12-03,영업중,063-229-4567,"전라북도 전주시 완산구 솟대로 16 (삼천동1가, 우성아파트)",전라북도 전주시 완산구 삼천동1가 705-7,35.79527516,127.1262496,52.44,2022-06-30
손약국,1981-04-09,영업중,063-282-3321,전라북도 전주시 완산구 장승배기로 186 (평화동1가),전라북도 전주시 완산구 평화동1가 709-11,35.79548374,127.1332432,85.88,2022-06-30
솔약국,2011-08-29,영업중,063-231-1250,전라북도 전주시 완산구 장승배기로 268 (평화동1가),전라북도 전주시 완산구 평화동1가 434-15,35.79840632,127.1416305,118.33,2022-06-30
송신약국,1989-11-06,영업중,063-226-9988,"전라북도 전주시 완산구 강변로 106, 107동 103호 (삼천동1가, 삼천하이츠A상가)",전라북도 전주시 완산구 삼천동1가 722-2,35.80061326,127.1126323,0,2022-06-30
송천건강약국,2017-09-01,영업중,063-278-2818,전라북도 전주시 덕진구 붓내3길 48 (송천동2가),전라북도 전주시 덕진구 송천동2가 218-4,35.8665474,127.1266871,0,2022-06-30
송천미소약국,2015-05-21,영업중,,전라북도 전주시 덕진구 천마산로 73 (송천동2가),전라북도 전주시 덕진구 송천동2가 179-41,35.86540667,127.1294837,54,2022-06-30
송천백제약국,2017-11-20,영업중,063-252-4423,"전라북도 전주시 덕진구 천마산로 52, 103호 (송천동1가)",전라북도 전주시 덕진구 송천동1가 107-204,35.86392096,127.1274617,78,2022-06-30
송천사랑약국,2009-12-30,영업중,063-275-8415,전라북도 전주시 덕진구 시천로 40 (송천동1가),전라북도 전주시 덕진구 송천동1가 834-4,35.86292748,127.114792,35.25,2022-06-30
송천성심약국,2005-06-29,영업중,063-252-7788,"전라북도 전주시 덕진구 솔내로 148, 가동 104호 (송천동1가)",전라북도 전주시 덕진구 송천동1가 107-179,35.86333293,127.1273385,65.61,2022-06-30
수진가새란약국,2014-04-28,영업중,063-272-8066,"전라북도 전주시 덕진구 세병남로 25, 104호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1331-13,35.87200421,127.1272879,55.5,2022-06-30
수하락한약국,2019-01-10,영업중,063-272-7535,전라북도 전주시 완산구 문학로 10 (효자동3가),전라북도 전주시 완산구 효자동3가 1624-6,35.82595967,127.1020785,32.5,2022-06-30
스마일약국,2020-03-13,영업중,,"전라북도 전주시 덕진구 가련산로 18, 리더빌딩 (덕진동2가)",전라북도 전주시 덕진구 덕진동2가 694-3,35.84118572,127.1111106,52,2022-06-30
스마트약국,2021-09-07,영업중,063-272-7600,"전라북도 전주시 완산구 당산로 48, 소망빌딩 1층 (서신동)",전라북도 전주시 완산구 서신동 796-2,35.8320003,127.113501,49.3,2022-06-30
시민약국,2011-12-05,영업중,063-254-0009,전라북도 전주시 완산구 태평5길 20 (서노송동),전라북도 전주시 완산구 서노송동 639-34,35.82367218,127.1439912,75.79,2022-06-30
시원약국,2018-10-01,영업중,063-254-2800,"전라북도 전주시 덕진구 안덕원로 142, 102호 (진북동)",전라북도 전주시 덕진구 진북동 325-10,35.83192582,127.144211,55.2,2022-06-30
시장약국,1993-06-03,영업중,063-271-0468,전라북도 전주시 완산구 태평3길 43 (태평동),전라북도 전주시 완산구 태평동 35-15,35.82407222,127.141891,0,2022-06-30
신세계약국,1997-08-12,영업중,063-229-8585,전라북도 전주시 완산구 소대배기로 28 (평화동2가),전라북도 전주시 완산구 평화동2가 894-1,35.78676726,127.1332306,0,2022-06-30
신행복약국,2014-03-03,영업중,063-278-8411,전라북도 전주시 완산구 팔달로 225 (고사동),전라북도 전주시 완산구 고사동 2-6,35.82224441,127.1452596,26.4,2022-06-30
실로암약국,2018-06-18,영업중,063-247-1300,"전라북도 전주시 덕진구 백제대로 686, 105~107호 (인후동2가)",전라북도 전주시 덕진구 인후동2가 1529-26,35.84371812,127.1443847,68,2022-06-30
아름다운약국,2003-10-06,영업중,063-247-0880,전라북도 전주시 덕진구 아중로 147 (인후동1가),전라북도 전주시 덕진구 인후동1가 916-5,35.82620563,127.165674,0,2022-06-30
아시아약국,1971-06-19,영업중,063-285-2244,전라북도 전주시 완산구 팔달로 133 (전동),전라북도 전주시 완산구 전동 88-12,35.81445543,127.1480092,49.92,2022-06-30
아중E마트약국,2010-08-02,영업중,063-245-8588,전라북도 전주시 덕진구 정언신로 89 (인후동1가),전라북도 전주시 덕진구 인후동1가 857-1,35.83129554,127.1636583,143,2022-06-30
아중건강약국,2003-11-21,영업중,063-247-0880,"전라북도 전주시 덕진구 아중로 159 (인후동1가, 보명빌딩)",전라북도 전주시 덕진구 인후동1가 919-5,35.82666195,127.1669005,0,2022-06-30
아중녹십자약국,2003-08-18,영업중,063-245-8555,전라북도 전주시 덕진구 석소로 32 (우아동2가),전라북도 전주시 덕진구 우아동2가 903-2,35.8300856,127.1691275,0,2022-06-30
아중대성약국,2019-08-28,영업중,063-247-3344,"전라북도 전주시 덕진구 정언신로 95, 아중대성약국 (인후동1가)",전라북도 전주시 덕진구 인후동1가 857-3,35.83138652,127.1642221,159.69,2022-06-30
아중백제약국,2000-07-12,영업중,063-242-0027,전라북도 전주시 덕진구 견훤로 229 (인후동1가),전라북도 전주시 덕진구 인후동1가 811-4,35.83217619,127.158118,0,2022-06-30
아중새천년약국,1999-08-13,영업중,063-245-0028,전라북도 전주시 덕진구 건산로 232 (인후동1가),전라북도 전주시 덕진구 인후동1가 845-1,35.83407222,127.1627322,0,2022-06-30
아중종로약국,2003-07-02,영업중,063-246-4860,전라북도 전주시 덕진구 건산로 222 (인후동1가),전라북도 전주시 덕진구 인후동1가 835-1,35.83373121,127.1615768,0,2022-06-30
안골녹십자약국,2022-03-07,영업중,063-241-7555,"전라북도 전주시 덕진구 안덕원로 242, 1층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 772-16,35.83620723,127.1533987,123.35,2022-06-30
알파약국,2018-08-21,영업중,063-273-7578,"전라북도 전주시 덕진구 세병로 30, 401호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1326-9,35.8735992,127.1280028,88,2022-06-30
애플약국,2010-08-12,영업중,063-271-8200,전라북도 전주시 완산구 당산로 110 (서신동),전라북도 전주시 완산구 서신동 785-6,35.83199227,127.1203618,75.75,2022-06-30
약산가푸른한약국,2010-04-20,영업중,063-254-7585,전라북도 전주시 덕진구 석소로 22 (우아동2가),전라북도 전주시 덕진구 우아동2가 904-7,35.82935189,127.1695104,52,2022-06-30
약손약국,2006-03-21,영업중,063-226-8275,전라북도 전주시 완산구 신봉로 11 (효자동1가),전라북도 전주시 완산구 효자동1가 620-9,35.81045433,127.1162253,66.75,2022-06-30
어울림약국,2015-01-19,영업중,063-237-5292,"전라북도 전주시 완산구 홍산로 160-3, 2층 (효자동2가)",전라북도 전주시 완산구 효자동2가 1332-1,35.80816948,127.1051292,16.24,2022-06-30
어울림한약국,2015-04-08,영업중,063-223-0175,"전라북도 전주시 완산구 호암로 19, 2층 201호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1313-7,35.80919592,127.0967708,93.17,2022-06-30
에이스약국,2018-01-30,영업중,063-904-9443,"전라북도 전주시 덕진구 솔내로 152, 1층 (송천동1가)",전라북도 전주시 덕진구 송천동1가 107-15,35.86371745,127.1272114,68.87,2022-06-30
에코2층약국,2018-05-29,영업중,,"전라북도 전주시 덕진구 세병로 30, 2층 205호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1326-9,35.8735992,127.1280028,74.88,2022-06-30
에코사랑약국,2018-07-03,영업중,063-271-7555,"전라북도 전주시 덕진구 세병남로 35, 102,103호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1326-13,35.87285665,127.1275074,133.04,2022-06-30
에코수약국,2019-08-26,영업중,063-255-1133,"전라북도 전주시 덕진구 세병로 176, 101호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1299-10,35.8788618,127.1331416,32.26,2022-06-30
에코우리약국,2020-05-25,영업중,063-255-0995,"전라북도 전주시 덕진구 백석동로 17, 102호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1323-2,35.87673072,127.1250681,76,2022-06-30
에코유익한약국,2019-01-04,영업중,063-278-1300,"전라북도 전주시 덕진구 세병로 172, 103호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1301-6,35.87856246,127.1335758,36.3,2022-06-30
에코윤약국,2022-02-16,영업중,,"전라북도 전주시 덕진구 과학로 20, 엘디엠시티 107호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1332-1,35.87197561,127.1227217,60.16,2022-06-30
에코참약국,2022-04-13,영업중,,"전라북도 전주시 덕진구 세병서로 10, 101호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1333-1,35.87171195,127.1230825,60.56,2022-06-30
에코현대약국,2020-10-08,영업중,,"전라북도 전주시 덕진구 세병남로 31, 1층 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1331-15,35.87250053,127.127367,66.4,2022-06-30
엔네이버약국,2019-05-07,영업중,063-255-3993,"전라북도 전주시 덕진구 가련산로 5, 103호 (덕진동2가)",전라북도 전주시 덕진구 덕진동2가 693-4,35.8407749,127.109663,62.5,2022-06-30
엔씨피희망약국,2013-08-16,영업중,063-255-3769,"전라북도 전주시 덕진구 붓내3길 24, 1층 (송천동2가)",전라북도 전주시 덕진구 송천동2가 241-1,35.86652295,127.1240278,100.8,2022-06-30
엔젤약국,2015-03-03,영업중,063-227-2007,"전라북도 전주시 완산구 효자천변1길 27, 103호 (효자동1가)",전라북도 전주시 완산구 효자동1가 662-6,35.80048616,127.1141904,87.06,2022-06-30
엔젤팜약국,2002-01-15,영업중,063-236-4427,전라북도 전주시 완산구 백제대로 141 (효자동1가),전라북도 전주시 완산구 효자동1가 548-2,35.80561349,127.1228248,,2022-06-30
엠약국,2012-05-22,영업중,063-272-0430,전라북도 전주시 덕진구 기린대로 479-1 (덕진동1가),전라북도 전주시 덕진구 덕진동1가 1267-6,35.84236969,127.1252321,44.85,2022-06-30
연세약국,2003-06-18,영업중,063-225-9322,전라북도 전주시 완산구 서원로 284 (중화산동2가),전라북도 전주시 완산구 중화산동2가 534-5,35.81172305,127.1256256,74.3,2022-06-30
연세큰사랑약국,2021-04-28,영업중,063-247-3367,"전라북도 전주시 덕진구 도당산4길 69, 1층 (우아동3가)",전라북도 전주시 덕진구 우아동3가 749-7,35.8457055,127.1541638,96.43,2022-06-30
열린사랑약국,2017-03-02,영업중,063-231-7585,전라북도 전주시 완산구 기린대로 233-5 (서노송동),전라북도 전주시 완산구 서노송동 685-5,35.82678138,127.1452374,92.4,2022-06-30
열린약국,2017-04-24,영업중,063-224-3008,"전라북도 전주시 완산구 모악로 4766 (평화동1가, 열린약국)",전라북도 전주시 완산구 평화동1가 731-8,35.7946019,127.132711,115,2022-06-30
염약국,1998-08-08,영업중,063-278-7989,전라북도 전주시 덕진구 매봉로 29-1 (금암동),전라북도 전주시 덕진구 금암동 1583-4,35.84066574,127.1411245,0,2022-06-30
영광약국,2000-08-05,영업중,063-271-2737,전라북도 전주시 덕진구 건지로 13 (금암동),전라북도 전주시 덕진구 금암동 1594-3,35.84482197,127.1423533,0,2022-06-30
영빈약국,1981-05-21,영업중,063-246-1056,"전라북도 전주시 완산구 세내로 542, 1층 (효자동3가)",전라북도 전주시 완산구 효자동3가 1456-5,35.83395415,127.0999838,59.16,2022-06-30
영진약국,2012-01-02,영업중,063-229-4577,전라북도 전주시 완산구 백제대로 265 (중화산동2가),전라북도 전주시 완산구 중화산동2가 596-13,35.81684402,127.1225613,129.38,2022-06-30
예담한약국,2016-04-04,영업중,063-251-6787,전라북도 전주시 완산구 새터로 52 (서신동),전라북도 전주시 완산구 서신동 940-3,35.83536804,127.1119556,34.4,2022-06-30
예새롬약국,2013-06-03,영업중,063-287-9989,전라북도 전주시 완산구 선너머4길 34 (중화산동1가),전라북도 전주시 완산구 중화산동1가 217-3,35.81502113,127.1329084,193,2022-06-30
오거리약국,2020-09-02,영업중,,전라북도 전주시 완산구 전주객사5길 77 (고사동),전라북도 전주시 완산구 고사동 217-1,35.8215085,127.1444595,94,2022-06-30
오렌지약국,2020-02-28,영업중,063-246-6111,전라북도 전주시 덕진구 도당산4길 71 (우아동3가),전라북도 전주시 덕진구 우아동3가 749-4,35.84563131,127.1539647,80.72,2022-06-30
온고을약국,2018-01-02,영업중,063-225-7599,전라북도 전주시 완산구 신촌3길 19-6 (중화산동2가),전라북도 전주시 완산구 중화산동2가 484-22,35.81647109,127.1158285,67.44,2022-06-30
온기한약국,2022-03-08,영업중,063-222-1133,"전라북도 전주시 완산구 효천중앙로 49, 104호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1377-4,35.79895511,127.1072243,49.64,2022-06-30
온누리열린약국,2003-05-09,영업중,063-278-0052,전라북도 전주시 덕진구 건지2길 13 (금암동),전라북도 전주시 덕진구 금암동 1592-10,35.84442651,127.1411155,141.12,2022-06-30
온누리화신약국,2002-01-03,영업중,063-286-8270,전라북도 전주시 완산구 팔달로 248 (서노송동),전라북도 전주시 완산구 서노송동 632-11,35.82434407,127.1448903,0,2022-06-30
온세종합약국,2012-10-29,영업중,063-232-0830,전라북도 전주시 완산구 전라감영3길 22 (중앙동2가),전라북도 전주시 완산구 중앙동2가 39-1,35.81711556,127.143048,31.82,2022-06-30
온심약국,2015-03-30,영업중,063-228-9278,전라북도 전주시 완산구 모악로 4693 (평화동2가),전라북도 전주시 완산구 평화동2가 316-2,35.78850148,127.1304325,61.58,2022-06-30
온유한약국,2010-04-26,영업중,063-288-2442,전라북도 전주시 완산구 황강서원로 24 (효자동3가),전라북도 전주시 완산구 효자동3가 1598-8,35.82854563,127.0996345,48.38,2022-06-30
온정약국,2009-08-14,영업중,063-221-8279,전라북도 전주시 완산구 용머리로 152 (효자동1가),전라북도 전주시 완산구 효자동1가 195-19,35.80578869,127.1269127,37.01,2022-06-30
올리브약국,2021-08-17,영업중,063-222-3375,"전라북도 전주시 완산구 홍산로 260, 엠스퀘어 1층 (효자동3가)",전라북도 전주시 완산구 효자동3가 1531-2,35.81684124,127.1064661,65.3,2022-06-30
옵티마런던약국,2019-06-21,영업중,063-252-2332,"전라북도 전주시 덕진구 태진로 125-30, 103동 1층 103호 (금암동, 휴엔하임주상복합아파트)",전라북도 전주시 덕진구 금암동 1639-1,35.83324801,127.134215,85.84,2022-06-30
옵티마우리약국,2012-07-25,영업중,063-232-3806,전라북도 전주시 완산구 장승배기로 364 (서서학동),전라북도 전주시 완산구 서서학동 295,35.80383121,127.1496586,38.76,2022-06-30
옻율당한약국,2021-11-18,영업중,,"전라북도 전주시 완산구 전라감영로 15, 1층 일부호 (다가동2가)",전라북도 전주시 완산구 다가동2가 92-1,35.81441475,127.1409898,86,2022-06-30
완산원약국,2022-04-29,영업중,,전라북도 전주시 완산구 평화로 192(평화동1가),전라북도 전주시 완산구 평화동1가 741-1,35.79363924,127.1366687,36.48,2022-06-30
완산종로약국,2021-03-23,영업중,063-252-1574,"전라북도 전주시 완산구 당산로 96, BYC / 복음연합내과 1층 108,109호 (서신동)",전라북도 전주시 완산구 서신동 792,35.83196446,127.118786,131.72,2022-06-30
우리들약국,2020-08-05,영업중,,"전라북도 전주시 덕진구 권삼득로 303, 1층 (금암동)",전라북도 전주시 덕진구 금암동 664-77,35.84321951,127.1284501,28.05,2022-06-30
우리들한약국,2016-11-09,영업중,063-255-9666,"전라북도 전주시 완산구 유연로 266, 1층 102호 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 743-9,35.82520413,127.1144997,45.78,2022-06-30
우리송천약국,2001-12-10,영업중,063-251-5365,전라북도 전주시 덕진구 송천중앙로 127 (송천동1가),전라북도 전주시 덕진구 송천동1가 474-39,35.85844314,127.1207401,86,2022-06-30
우리수약국,2019-08-26,영업중,063-231-7577,전라북도 전주시 완산구 선너머4길 6 (중화산동1가),전라북도 전주시 완산구 중화산동1가 300-8,35.81375606,127.1326346,78.68,2022-06-30
우리약국,2004-10-27,영업중,063-272-5735,"전라북도 전주시 완산구 당산로 49, 109동 104호 (서신동, 제일비사벌상가)",전라북도 전주시 완산구 서신동 764-2,35.8323435,127.1135945,36,2022-06-30
우리정다운약국,2010-02-25,영업중,063-275-9115,전라북도 전주시 완산구 당산로 39 (서신동),전라북도 전주시 완산구 서신동 764-2,35.83234504,127.1127268,34.03,2022-06-30
우리종합약국,2021-05-01,영업중,,"전라북도 전주시 완산구 전라감영로 40-1, 1층 (중앙동4가)",전라북도 전주시 완산구 중앙동4가 31-10,35.81516818,127.1438272,136.55,2022-06-30
우리팜약국,2013-03-29,영업중,063-223-6667,전라북도 전주시 완산구 쑥고개로 398-14 (효자동2가),전라북도 전주시 완산구 효자동2가 238-9,35.80380052,127.1081782,70,2022-06-30
우연한발견약국,2021-04-07,영업중,063-288-3927,"전라북도 전주시 완산구 팔달로 178, 1층 (경원동1가)",전라북도 전주시 완산구 경원동1가 40-10,35.81823417,127.1472542,55.1,2022-06-30
원민약국,1992-09-16,영업중,063-284-8422,전라북도 전주시 완산구 전주객사5길 17 (고사동),전라북도 전주시 완산구 고사동 79-3,35.81894293,127.1454683,0,2022-06-30
원약국,1978-04-05,영업중,063-254-7572,전라북도 전주시 덕진구 기린대로 471-1 (덕진동1가),전라북도 전주시 덕진구 덕진동1가 1267-15,35.84185895,127.1259196,0,2022-06-30
원화당약국,1972-06-01,영업중,063-284-4666,전라북도 전주시 완산구 용머리로 290 (서완산동1가),전라북도 전주시 완산구 서완산동1가 472-3,35.81212943,127.1393608,0,2022-06-30
유명약국,2015-12-07,영업중,063-246-5400,전라북도 전주시 덕진구 우아로 8 (우아동3가),전라북도 전주시 덕진구 우아동3가 746-21,35.8487303,127.1570765,0,2022-06-30
유한약국,2017-04-05,영업중,063-287-6770,전라북도 전주시 완산구 장승배기로 266 (평화동1가),전라북도 전주시 완산구 평화동1가 408-4,35.79837887,127.1412902,84,2022-06-30
은약국,2003-01-02,영업중,063-242-3997,"전라북도 전주시 덕진구 견훤로 501, 1층 일부호 (우아동3가)",전라북도 전주시 덕진구 우아동3가 594-9,35.85511044,127.1555024,105.85,2022-06-30
은혜약국,2019-03-28,영업중,063-284-8888,전라북도 전주시 완산구 흑석로 27 (서서학동),전라북도 전주시 완산구 서서학동 285-1,35.80176802,127.1504701,28.86,2022-06-30
이레약국,2017-12-21,영업중,063-244-5921,전라북도 전주시 덕진구 호성3길 11 (호성동1가),전라북도 전주시 덕진구 호성동1가 828-5,35.86071498,127.1511949,55.64,2022-06-30
이지약국,2012-06-21,영업중,063-244-8806,전라북도 전주시 덕진구 정언신로 142 (우아동2가),전라북도 전주시 덕진구 우아동2가 903-8,35.83024703,127.1693123,97.35,2022-06-30
인삼약국,1988-06-11,영업중,063-252-8822,전라북도 전주시 덕진구 조경단로 5 (금암동),전라북도 전주시 덕진구 금암동 522-25,35.83526181,127.1359573,0,2022-06-30
인후대형약국,2021-08-10,영업중,,"전라북도 전주시 덕진구 무삼지로 66, 1층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 855-6,35.83150703,127.1634707,59,2022-06-30
인후종로약국,2019-07-01,영업중,063-241-3538,"전라북도 전주시 덕진구 무삼지로 80, 이태관내과 1층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 851-6,35.83263222,127.1631761,66.3,2022-06-30
인후해맑은약국,2015-05-18,영업중,063-241-8881,전라북도 전주시 덕진구 견훤로 405 (인후동2가),전라북도 전주시 덕진구 인후동2가 1572-23,35.84714852,127.1520224,35.6,2022-06-30
